L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,variable
4.741271287300902,4.741348739537737,7.745223683475189e-05,10000000,4,3,0,0.01,1,1265.625,218.75,1421.875,187.5,d
9.14923878537513,5.626120230822677,-3.523118554552454,10000000,5,3,0,0.01,1,1062.5,296.875,1718.75,171.875,d
5.625850099331282,5.625931677797417,8.157846613521258e-05,10000000,5,3,0,0.01,1,1531.25,296.875,1718.75,187.5,d
11.032764442723211,8.018708476925319,-3.014055965797894,10000000,6,3,0,0.01,1,1187.5,390.625,2015.625,187.5,d
8.018399623934368,8.018630134437558,0.0002305105031901,10000000,6,3,0,0.01,1,1734.375,375.0,2000.0,203.125,d
18.193816402967663,7.997075501839335,-10.196740901128328,10000000,7,3,0,0.01,1,1265.625,515.625,2328.125,187.5,d
7.996934981455175,7.997032281292179,9.729983700346168e-05,10000000,7,3,0,0.01,1,2109.375,500.0,2343.75,171.875,d
5.482174506147231,5.48233373932124,0.0001592331740098,10000000,8,3,0,0.01,1,1343.75,546.875,2625.0,187.5,d
5.482174506147231,5.482211910342996,3.7404195765589066e-05,10000000,8,3,0,0.01,1,2390.625,546.875,2671.875,187.5,d
23.819315688204487,8.327803656839881,-15.491512031364604,10000000,9,3,0,0.01,1,1421.875,703.125,3046.875,187.5,d
8.327619873008624,8.32771058438634,9.071137771599068e-05,10000000,9,3,0,0.01,1,2687.5,687.5,3078.125,187.5,d
14.046954467209202,14.047537347244432,0.0005828800352301,10000000,10,3,0,0.01,1,1453.125,750.0,3359.375,187.5,d
14.046953615169471,14.047112595915223,0.0001589807457538,10000000,10,3,0,0.01,1,2875.0,828.125,3500.0,250.0,d
64.72907076586655,64.73122999272118,0.0021592268546299,10000000,11,3,0,0.01,1,1656.25,1046.875,4046.875,203.125,d
64.72780943451065,64.73435113650554,0.006541701994891,10000000,11,3,0,0.01,1,3484.375,1000.0,4062.5,234.375,d
9.14923878537513,5.626120230822677,-3.523118554552454,10000000,5,3,0,0.01,1,828.125,203.125,1781.25,140.625,k
5.625850099331282,5.625931677797417,8.157846613521258e-05,10000000,5,3,0,0.01,1,1578.125,312.5,1781.25,187.5,k
25.36526392135296,15.280736721465388,-10.084527199887573,10000000,5,3,0,0.01,1,1078.125,312.5,1765.625,187.5,k
15.280460671703356,15.28068274687626,0.0002220751729051,10000000,5,3,0,0.01,1,1562.5,296.875,1734.375,187.5,k
22.84075389779577,17.89682388435883,-4.94393001343694,10000000,5,3,0,0.01,1,1046.875,312.5,1828.125,187.5,k
