n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
177147.0,11.0,5.0,62500000.0,46875000.0,78125000.0,0.0,0.0,15625000.0,35429.4,29786.0,39519.0
177147.0,11.0,6.0,62500000.0,31250000.0,78125000.0,0.0,0.0,15625000.0,29524.5,21504.0,37441.0
177147.0,11.0,7.0,78125000.0,46875000.0,93750000.0,0.0,0.0,15625000.0,25306.714285714286,12949.0,38649.0
177147.0,11.0,8.0,78125000.0,62500000.0,93750000.0,0.0,0.0,15625000.0,22143.375,9482.0,34952.0
177147.0,11.0,9.0,93750000.0,62500000.0,93750000.0,0.0,0.0,15625000.0,19683.0,9478.0,34940.0
177147.0,11.0,10.0,93750000.0,62500000.0,109375000.0,0.0,0.0,15625000.0,17714.7,9286.0,30618.0
177147.0,11.0,11.0,109375000.0,62500000.0,156250000.0,0.0,0.0,15625000.0,16104.272727272728,9282.0,26995.0
177147.0,11.0,12.0,109375000.0,78125000.0,125000000.0,0.0,0.0,15625000.0,14762.25,8151.0,31198.0
177147.0,11.0,13.0,109375000.0,78125000.0,125000000.0,0.0,0.0,15625000.0,13626.692307692309,7747.0,26681.0
177147.0,11.0,14.0,125000000.0,93750000.0,187500000.0,0.0,0.0,15625000.0,12653.357142857143,6747.0,18745.0
531441.0,12.0,3.0,156250000.0,93750000.0,218750000.0,15625000.0,0.0,31250000.0,177147.0,102250.0,248151.0
531441.0,12.0,4.0,171875000.0,93750000.0,187500000.0,15625000.0,0.0,15625000.0,132860.25,83162.0,185006.0
531441.0,12.0,5.0,203125000.0,109375000.0,234375000.0,15625000.0,0.0,31250000.0,106288.2,75455.0,136492.0
531441.0,12.0,6.0,226562500.0,140625000.0,250000000.0,15625000.0,0.0,15625000.0,88573.5,44063.0,128951.0
531441.0,12.0,7.0,250000000.0,171875000.0,343750000.0,15625000.0,0.0,31250000.0,75920.14285714286,44060.0,127003.0
531441.0,12.0,8.0,265625000.0,187500000.0,359375000.0,15625000.0,0.0,31250000.0,66430.125,33198.0,99457.0
531441.0,12.0,9.0,296875000.0,218750000.0,312500000.0,15625000.0,0.0,15625000.0,59049.0,35511.0,86293.0
531441.0,12.0,10.0,312500000.0,218750000.0,500000000.0,15625000.0,0.0,46875000.0,53144.1,32975.0,86298.0
531441.0,12.0,11.0,343750000.0,265625000.0,421875000.0,15625000.0,0.0,31250000.0,48312.818181818184,14321.0,95919.0
531441.0,12.0,12.0,359375000.0,281250000.0,468750000.0,15625000.0,0.0,31250000.0,44286.75,14277.0,84694.0
531441.0,12.0,13.0,390625000.0,281250000.0,593750000.0,15625000.0,0.0,31250000.0,40880.07692307692,13903.0,82255.0
531441.0,12.0,14.0,453125000.0,218750000.0,531250000.0,15625000.0,0.0,31250000.0,37960.07142857143,18270.0,60073.0
