n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,t_speculation_avg,t_speculation_min,t_speculation_max,t_correction_avg,t_correction_min,t_correction_max
10081.0,7.0,9.0,0.0068067823137555805,0.0,0.01563405990600586,0.002344233649117606,0.0,0.00841069221496582,1120.111111111111,48.0,2304.0,0.0034267561776297434,0.0,0.008004426956176758,0.0022882052830287387,0.0,0.008014917373657227
10081.0,7.0,10.0,0.00553844656263079,0.0,0.008015155792236328,0.002855931009565081,0.0,0.008011817932128906,1008.1,20.0,2357.0,0.0028563737869262695,0.0,0.00801706314086914,0.006478003093174526,0.0,0.016683101654052734
10081.0,7.0,11.0,0.007326695052060214,0.0,0.016568899154663086,0.0016199404543096368,0.0,0.01563572883605957,916.4545454545455,42.0,2317.0,0.0031090324575250797,0.0,0.015661954879760742,0.007543162866072221,0.0,0.018412113189697266
10081.0,7.0,12.0,0.007134244555518741,0.0,0.011546134948730469,0.00425455683753604,0.0,0.012339115142822266,840.0833333333334,31.0,1957.0,0.002039625531151181,0.0,0.00954890251159668,0.011822586967831566,0.006448984146118164,0.016808271408081055
10081.0,7.0,13.0,0.006887628918602353,0.0,0.015660762786865234,0.0038935797555106027,0.0,0.015627145767211914,775.4615384615385,253.0,1442.0,0.0033421629951113745,0.0,0.015623331069946289,0.004922435397193546,0.0,0.01569223403930664
10081.0,7.0,14.0,0.010815143585205078,0.0,0.024300336837768555,0.004290605846204255,0.0,0.016106843948364258,720.0714285714286,38.0,2000.0,0.0029194229527523645,0.0,0.015668392181396484,0.008080269161023591,0.0,0.01690220832824707
10692.0,8.0,3.0,0.005043578386306763,0.0,0.024002790451049805,0.0015728216171264648,0.0,0.015672683715820312,3564.0,955.0,7068.0,0.0011426994800567626,0.0,0.01654338836669922,0.00526437258720398,0.0,0.03200125694274902
10692.0,8.0,4.0,0.005604606866836548,0.0,0.008090734481811523,0.0031733453273773194,0.0,0.00804591178894043,2673.0,2.0,7453.0,0.0010000348091125488,0.0,0.008003473281860352,0.0036406755447387696,0.0,0.016001462936401367
10692.0,8.0,5.0,0.006642077684402466,0.0,0.01930856704711914,0.0018389918804168702,0.0,0.016678571701049805,2138.4,346.0,3836.0,0.0014981467723846436,0.0,0.015636205673217773,0.007494879484176636,0.0,0.023760318756103516
10692.0,8.0,6.0,0.00617801547050476,0.0,0.02005600929260254,0.001755434513092041,0.0,0.015682220458984375,1782.0,0.0,10692.0,0.0016149771213531494,0.0,0.016768217086791992,0.0008658382892608642,0.0,0.016030550003051758
