n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
285861.0,17.0,4.0,0.12170500755310058,0.06259870529174805,0.13849329948425293,0.01076194445292155,0.00860738754272461,0.025031328201293945,71465.25,22232.0,126614.0
293190.0,17.0,4.0,0.13075008392333984,0.06563568115234375,0.15957999229431152,0.009624319076538086,0.00851130485534668,0.011284112930297852,73297.5,22832.0,129957.0
300520.0,17.0,4.0,0.13232615187361435,0.06612467765808105,0.1750943660736084,0.009705530630575644,0.008009195327758789,0.01065683364868164,75130.0,23412.0,133245.0
307850.0,17.0,4.0,0.1356094451177688,0.0667428970336914,0.1721820831298828,0.010141679218837194,0.008559703826904297,0.01461172103881836,76962.5,24072.0,136738.0
315180.0,17.0,4.0,0.139225257070441,0.06857132911682129,0.1838078498840332,0.010582603906330309,0.009562253952026367,0.016541481018066406,78795.0,24685.0,140296.0
322509.0,17.0,4.0,0.14066745042800904,0.07224822044372559,0.18176651000976562,0.011799061298370361,0.009612083435058594,0.026566505432128906,80627.25,25277.0,143903.0
329839.0,17.0,4.0,0.1442594948936911,0.07328295707702637,0.18832015991210938,0.01177079537335564,0.010512590408325195,0.014606237411499023,82459.75,13990.0,146195.0
337169.0,17.0,4.0,0.1489518438066755,0.07468128204345703,0.16871118545532227,0.011304678235735213,0.009606361389160156,0.01714777946472168,84292.25,26424.0,150474.0
344499.0,17.0,4.0,0.15411574131733663,0.09239053726196289,0.19533562660217285,0.011311170217153188,0.009620428085327148,0.012612581253051758,86124.75,26973.0,153682.0
351828.0,17.0,4.0,0.15576656659444174,0.11158013343811035,0.17483830451965332,0.01177386442820231,0.010498762130737305,0.014024019241333008,87957.0,27636.0,157414.0
359158.0,17.0,4.0,0.15777486876437538,0.0791935920715332,0.18738031387329102,0.01273304537722939,0.009610176086425781,0.032566070556640625,89789.5,28241.0,160953.0
366488.0,17.0,4.0,0.16621833136587433,0.08170700073242188,0.20485591888427734,0.012904463392315489,0.011146306991577148,0.03161501884460449,91622.0,28794.0,164626.0
373818.0,17.0,4.0,0.16886289680705352,0.08228826522827148,0.20986032485961914,0.01255810260772705,0.011202335357666016,0.015157222747802734,93454.5,29353.0,167900.0
381148.0,17.0,4.0,0.17019283771514893,0.08560848236083984,0.2081465721130371,0.01348556876182556,0.011161327362060547,0.03254365921020508,95287.0,29974.0,171065.0
388477.0,17.0,4.0,0.1709810271859169,0.08929228782653809,0.1943979263305664,0.013725660741329193,0.011173248291015625,0.03256726264953613,97119.25,30594.0,174120.0
