dataset_type,n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
G2,2048,1024,5,11,1,1,1,0.01,0,10192897.992007509,10192724.3119267,10192897.992007509,10188091.363482248
G2,2048,1024,6,11,1,1,1,0.01,0,10186289.981202433,10185000.989825545,10186289.981202433,10180011.18966261
G2,2048,1024,7,11,1,1,1,0.01,0,10179359.760949949,10177885.224290824,10179359.760949949,10171006.723953512
G2,2048,1024,8,11,1,1,1,0.01,0,10170969.865666445,10171085.47730365,10170969.865666445,10164860.90989667
G2,2048,1024,9,11,1,1,1,0.01,0,10163326.500056624,10163257.522478733,10163326.500056624,10157941.076992968
G2,2048,1024,10,11,1,1,1,0.01,0,10157538.814451188,10155533.046723645,10157538.814451188,10150700.934773449
G2,2048,1024,3,12,1,1,1,0.01,0,408046.4240527278,408010.41021040035,408046.4240527278,407949.05317132076
G2,2048,1024,4,12,1,1,1,0.01,0,407624.01360578905,407722.5200414727,407624.01360578905,407465.88024061726
G2,2048,1024,5,12,1,1,1,0.01,0,407286.88255185075,407282.3779735131,407286.88255185075,407085.83880643896
G2,2048,1024,6,12,1,1,1,0.01,0,406980.20184618834,407162.47724945773,406980.20184618834,406771.76003777335
G2,2048,1024,7,12,1,1,1,0.01,0,406689.87224621314,406834.528771905,406689.87224621314,406434.2448540816
G2,2048,1024,8,12,1,1,1,0.01,0,406374.0810915672,406461.4631639278,406374.0810915672,406159.5286687234
G2,2048,1024,9,12,1,1,1,0.01,0,406076.4804146108,406162.3717614921,406076.4804146108,405920.00006704126
G2,2048,1024,10,12,1,1,1,0.01,0,405852.26496347657,405872.70300984115,405852.26496347657,405574.4072566572
G2,2048,1024,3,13,1,1,1,0.01,0,918476.42257546,918881.2290124287,918476.42257546,918282.6619668243
G2,2048,1024,4,13,1,1,1,0.01,0,917508.2099446445,918089.7367934262,917508.2099446445,917223.8105392205
G2,2048,1024,5,13,1,1,1,0.01,0,916750.3335656461,917233.3856186287,916750.3335656461,916345.2063840748
G2,2048,1024,6,13,1,1,1,0.01,0,916638.0709654875,916476.5387458843,916638.0709654875,915631.9676966292
G2,2048,1024,7,13,1,1,1,0.01,0,915901.7050270841,915764.2858076615,915901.7050270841,914841.1048976849
G2,2048,1024,8,13,1,1,1,0.01,0,915172.1827189843,915273.6180821361,915172.1827189843,914240.8248582594
G2,2048,1024,9,13,1,1,1,0.01,0,914594.3910950832,914515.9697988308,914594.3910950832,913715.3094951931
G2,2048,1024,10,13,1,1,1,0.01,0,914141.7148650654,913882.5232694737,914141.7148650654,913006.92363539
G2,2048,1024,3,14,1,1,1,0.01,0,1633392.8784536123,1633405.4472293954,1633392.8784536123,1633006.4565463911
G2,2048,1024,4,14,1,1,1,0.01,0,1631925.0106074256,1631738.602978676,1631925.0106074256,1631088.5047787908
G2,2048,1024,5,14,1,1,1,0.01,0,1630533.6303446214,1630386.4361535832,1630533.6303446214,1629640.7418710813
G2,2048,1024,6,14,1,1,1,0.01,0,1629809.1437685727,1629007.5294371303,1629809.1437685727,1628111.1405352533
G2,2048,1024,7,14,1,1,1,0.01,0,1628619.3557399365,1627911.0735330272,1628619.3557399365,1627115.5341593826
G2,2048,1024,8,14,1,1,1,0.01,0,1627395.7100975472,1626732.427031905,1627395.7100975472,1625976.5647975602
G2,2048,1024,9,14,1,1,1,0.01,0,1626069.3755847905,1625665.4926553392,1626069.3755847905,1624838.8166719992
G2,2048,1024,10,14,1,1,1,0.01,0,1624938.818781439,1624574.1575749398,1624938.818781439,1623762.4248651268
G2,2048,1024,3,15,1,1,1,0.01,0,2557041.067565003,2557117.014171208,2557041.067565003,2556376.1425481895
G2,2048,1024,4,15,1,1,1,0.01,0,2554386.67061433,2554986.9814801216,2554386.67061433,2553414.873422401
G2,2048,1024,5,15,1,1,1,0.01,0,2552313.1410959167,2553413.5279014744,2552313.1410959167,2551196.5264321063
G2,2048,1024,6,15,1,1,1,0.01,0,2550445.9318425767,2550695.678426114,2550445.9318425767,2548888.8427926395
G2,2048,1024,7,15,1,1,1,0.01,0,2549029.376276005,2548631.1292078486,2549029.376276005,2547271.0369167933
G2,2048,1024,8,15,1,1,1,0.01,0,2547187.3941581226,2547242.8758685025,2547187.3941581226,2545033.587504636
G2,2048,1024,9,15,1,1,1,0.01,0,2545297.6693893187,2545878.5985653084,2545297.6693893187,2543611.9898391077
