dataset_type,n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
G2,2048,16,6,33,5,5,6,0.01,0,13154.442090385564,13150.647868194688,13154.442090385564,13003.666312378857
G2,2048,16,7,33,6,6,6,0.01,0,12989.986804943044,12929.313211130064,12989.986804943044,12814.432190312167
G2,2048,16,8,33,5,5,8,0.01,0,12759.660134436785,12760.425783322644,12759.660134436785,12628.198958233279
G2,2048,16,9,33,9,9,8,0.01,0,12546.655107514136,12579.043378521577,12546.655107514136,12472.92813635032
G2,2048,16,10,33,7,7,10,0.01,0,12413.774942483104,12391.563644448306,12413.774942483104,12319.059238478521
G2,2048,16,3,34,3,3,1,0.01,0,24854.649951178893,24834.957620692257,24854.649951178893,24757.08801111474
G2,2048,16,4,34,4,4,3,0.01,0,24310.10179512619,24328.74907558017,24310.10179512619,24147.105481930772
G2,2048,16,5,34,5,5,4,0.01,0,23866.761328960078,23876.925427086666,23866.761328960078,23695.6915454455
G2,2048,16,6,34,7,7,7,0.01,0,23485.599609167522,23456.031766654723,23485.599609167522,23261.466749790234
G2,2048,16,7,34,6,6,6,0.01,0,23203.730528451484,23237.59451917192,23203.730528451484,22880.841408189335
G2,2048,16,8,34,7,7,8,0.01,0,22762.93720246331,22727.680040087573,22762.93720246331,22528.532279769228
G2,2048,16,9,34,6,6,8,0.01,0,22483.441715634955,22535.981523864968,22483.441715634955,22225.998427463535
G2,2048,16,10,34,7,7,8,0.01,0,22191.833039996825,22206.690035124826,22191.833039996825,21970.600767372896
G2,2048,16,3,35,2,2,3,0.01,0,38898.61037835714,38869.45945772143,38898.61037835714,38709.17188859455
G2,2048,16,4,35,4,4,4,0.01,0,37932.17717037903,38192.04371743167,37932.17717037903,37717.697622156134
G2,2048,16,5,35,4,4,4,0.01,0,37321.01557288415,37246.16484995192,37321.01557288415,37045.045488846255
G2,2048,16,6,35,4,4,6,0.01,0,36776.353118298124,36567.44768190221,36776.353118298124,36378.000072810464
G2,2048,16,7,35,6,6,6,0.01,0,36249.41650234846,36043.576990939735,36249.41650234846,35810.25232232247
G2,2048,16,8,35,6,6,7,0.01,0,35620.43296445423,35638.438849234706,35620.43296445423,35308.21645180648
G2,2048,16,9,35,6,6,9,0.01,0,35141.91405050993,35191.461389449665,35141.91405050993,34834.73028149514
G2,2048,16,10,35,6,6,7,0.01,0,34686.70439675706,34739.3544725226,34686.70439675706,34386.47208961767
G2,2048,16,3,36,3,3,3,0.01,0,55612.97991725618,55627.68322040055,55612.97991725618,55442.07089178682
G2,2048,16,4,36,4,4,4,0.01,0,54255.670775002305,54651.05987555037,54255.670775002305,54046.49346961662
G2,2048,16,5,36,4,4,4,0.01,0,53497.174877449426,53973.12013549253,53497.174877449426,52979.18962167644
G2,2048,16,6,36,5,5,5,0.01,0,52683.41845843711,52672.789738328225,52683.41845843711,52044.28534709616
G2,2048,16,7,36,8,8,6,0.01,0,51873.51742095019,51723.09283108405,51873.51742095019,51288.033277808
G2,2048,16,8,36,9,9,5,0.01,0,50955.7494985962,51017.9179247788,50955.7494985962,50490.60318264583
G2,2048,16,9,36,9,9,7,0.01,0,50267.345412628194,50337.63384129356,50267.345412628194,49914.78652441468
G2,2048,16,10,36,9,9,6,0.01,0,49573.37325984753,49909.46272210496,49573.37325984753,49260.34423502318
G2,2048,16,3,37,2,2,2,0.01,0,76499.87389552945,76529.18655035034,76499.87389552945,76269.47780617597
G2,2048,16,4,37,3,3,4,0.01,0,74763.94868860213,74527.40866319404,74763.94868860213,74335.95290725215
G2,2048,16,5,37,5,5,5,0.01,0,73474.99967591943,73248.65046130624,73474.99967591943,72927.68063920349
G2,2048,16,6,37,7,7,5,0.01,0,72407.85779467368,72293.34138466633,72407.85779467368,71570.92155004083
G2,2048,16,7,37,7,7,5,0.01,0,71553.76993512377,70941.39044364994,71553.76993512377,70432.8734468068
G2,2048,16,8,37,10,10,6,0.01,0,70065.95882657319,70899.21464927304,70065.95882657319,69390.1641689926
G2,2048,16,9,37,9,9,7,0.01,0,69085.39031177793,69585.6456139316,69085.39031177793,68617.37247173252
G2,2048,16,10,37,8,8,6,0.01,0,68335.8521255695,68754.5197335735,68335.8521255695,67849.79664886947
G2,2048,16,3,38,2,2,2,0.01,0,99939.49994739506,99914.42650785149,99939.49994739506,99502.57512825151
G2,2048,16,4,38,5,5,2,0.01,0,97338.47710468857,97694.87815162071,97338.47710468857,96982.82982717823
G2,2048,16,5,38,5,5,4,0.01,0,95721.71860357666,95895.04950593482,95721.71860357666,95164.5009767161
G2,2048,16,6,38,5,5,5,0.01,0,94306.37804653277,94459.15613197359,94306.37804653277,93352.6201937461
G2,2048,16,7,38,6,6,5,0.01,0,93186.24679516844,93397.57222738855,93186.24679516844,91940.65635752381
G2,2048,16,8,38,6,6,5,0.01,0,91459.87127784484,91295.68423260102,91459.87127784484,90699.34578492766
G2,2048,16,9,38,7,7,7,0.01,0,90201.26183591774,90047.97851392333,90201.26183591774,89511.02343035556
G2,2048,16,10,38,7,7,10,0.01,0,89095.343669497,88956.14398333145,89095.343669497,88389.26560411052
G2,2048,16,3,39,4,4,2,0.01,0,125752.5079793372,125776.97660122644,125752.5079793372,125340.75908035415
G2,2048,16,4,39,5,5,3,0.01,0,122564.32543422104,123647.94986746911,122564.32543422104,121930.60273939758
G2,2048,16,5,39,5,5,5,0.01,0,120592.4832813802,121659.71871407365,120592.4832813802,119547.86085844124
G2,2048,16,6,39,5,5,9,0.01,0,118617.84410758645,119074.7980898312,118617.84410758645,117582.03910505664
G2,2048,16,7,39,8,8,10,0.01,0,116609.48970848168,117210.30124993208,116609.48970848168,115721.03391616933
G2,2048,16,8,39,6,6,9,0.01,0,114916.55481367369,115006.77790597675,114916.55481367369,114033.3834433404
G2,2048,16,9,39,7,7,8,0.01,0,113112.79308383806,113746.21305969928,113112.79308383806,112506.25998333794
G2,2048,16,10,39,8,8,10,0.01,0,111505.38542765327,112018.51594138803,111505.38542765327,111275.89358205194
G2,2048,2,3,40,4,4,4,0.01,0,171.3194828056233,173.61145331412823,171.3194828056233,170.18588783359644
G2,2048,2,4,40,6,6,4,0.01,0,136.9667105806188,149.61466651336988,136.9667105806188,136.38719621254634
G2,2048,2,5,40,6,6,5,0.01,0,112.64344806325778,116.37714301015058,112.64344806325778,112.49881832173565
G2,2048,2,6,40,6,6,6,0.01,0,103.28251974950891,93.70192020755404,103.28251974950891,91.59913347337547
G2,2048,2,7,40,6,6,7,0.01,0,97.69349470641437,82.67714946161627,97.69349470641437,81.82903216211342
G2,2048,2,8,40,6,6,11,0.01,0,76.79176485027168,72.95036320371801,76.79176485027168,72.34456563461231
G2,2048,2,9,40,7,7,12,0.01,0,67.23439494035217,66.8375632526392,67.23439494035217,66.66479665187555
G2,2048,2,10,40,10,10,15,0.01,0,61.4640734626069,61.15682003650218,61.4640734626069,61.13309621233001
G2,2048,2,3,41,12,8,6,0.01,0,11343.16113861915,11064.636657173214,11087.986624537076,11061.493399719346
G2,2048,2,4,41,9,9,9,0.01,0,8717.472021216417,8730.368917843061,8717.472021216417,8650.697698080961
G2,2048,2,5,41,8,8,13,0.01,0,7208.206253409267,7227.021679467194,7208.206253409267,7199.788954174719
G2,2048,2,6,41,12,12,6,0.01,0,6139.919121194478,6222.346908228599,6139.919121194478,6047.450846485071
G2,2048,2,7,41,14,14,10,0.01,0,5383.667359645778,5452.52550321102,5383.667359645778,5263.446537218566
G2,2048,2,8,41,12,8,10,0.01,0,4965.706990877301,4733.805523873982,4890.60878075425,4594.238972411875
G2,2048,2,9,41,13,13,13,0.01,0,4185.464754568001,4178.218579065653,4185.464754568001,4125.833308884534
G2,2048,2,10,41,13,19,8,0.01,0,3862.630518028099,3921.8537083662977,3799.014338569841,3742.5592644668677
G2,2048,2,3,42,7,7,4,0.01,0,661.1450979116898,666.8266467908317,661.1450979116898,658.522087903096
G2,2048,2,4,42,7,7,5,0.01,0,529.6292774648637,588.3462138495723,529.6292774648637,526.9812781858575
G2,2048,2,5,42,5,5,6,0.01,0,444.0454642407865,457.72079543471466,444.0454642407865,441.9343310064307
G2,2048,2,6,42,10,10,7,0.01,0,399.70802157778746,414.3561405800676,399.70802157778746,356.78205924289966
G2,2048,2,7,42,5,5,10,0.01,0,381.26077276457715,323.60582147229957,381.26077276457715,314.1355305809257
G2,2048,2,8,42,6,6,7,0.01,0,300.33404167768526,296.2104234758125,300.33404167768526,275.58306619394847
G2,2048,2,9,42,12,12,6,0.01,0,260.02061113376584,257.43236478122293,260.02061113376584,254.12924924771656
G2,2048,2,10,42,7,7,7,0.01,0,244.31940863179085,238.1217833753132,244.31940863179085,234.32672690090288
G2,2048,2,3,43,1,1,3,0.01,0,1501.592770007298,1483.8084974438407,1501.592770007298,1476.065592745567
G2,2048,2,4,43,3,3,6,0.01,0,1208.9301557250717,1285.8515193727703,1208.9301557250717,1186.5648316524166
G2,2048,2,5,43,5,5,4,0.01,0,995.6901306227154,998.2136719234292,995.6901306227154,980.3216195458263
G2,2048,2,6,43,10,10,22,0.01,0,820.2121042627059,810.3000730784156,820.2121042627059,806.9929361815241
G2,2048,2,7,43,10,10,11,0.01,0,719.1949549044223,725.2060432217411,719.1949549044223,711.5557649091825
G2,2048,2,8,43,31,31,5,0.01,0,630.6995599320901,631.673987737006,630.6995599320901,627.0164386416623
G2,2048,2,9,43,10,10,6,0.01,0,579.9668489608625,583.6497544338955,579.9668489608625,573.5367808223422
G2,2048,2,10,43,11,11,19,0.01,0,537.2566424688417,524.6738279448772,537.2566424688417,523.7617502413996
G2,2048,2,3,44,5,5,3,0.01,0,2453.41523661508,2509.2075491291134,2453.41523661508,2452.112875283925
G2,2048,2,4,44,9,9,14,0.01,0,1946.101997473335,1948.8156587952371,1946.101997473335,1940.866805345227
G2,2048,2,5,44,6,6,16,0.01,0,1608.998078658311,1570.7912134506055,1608.998078658311,1565.8204997604807
G2,2048,2,6,44,9,9,15,0.01,0,1368.1682536345147,1367.9001580118309,1368.1682536345147,1342.7514691787624
G2,2048,2,7,44,16,16,16,0.01,0,1210.7650047591187,1227.124596557382,1210.7650047591187,1174.4831667992398
G2,2048,2,8,44,6,6,10,0.01,0,1082.7671957331436,1059.4252126839874,1082.7671957331436,1040.8214651939245
G2,2048,2,9,44,7,7,8,0.01,0,960.1490824711166,957.7743476997464,960.1490824711166,932.287568255917
G2,2048,2,10,44,8,8,10,0.01,0,885.9661372419554,850.6796838074854,885.9661372419554,838.7582017903774
G2,2048,2,3,45,4,4,4,0.01,0,3509.408101431229,3493.685100888244,3509.408101431229,3492.0550407532155
G2,2048,2,4,45,4,4,18,0.01,0,2851.9314802492363,2707.4088521159124,2851.9314802492363,2697.4519201264607
G2,2048,2,5,45,10,10,15,0.01,0,2210.116919605106,2216.9055249663706,2210.116919605106,2200.3990145358093
G2,2048,2,6,45,14,10,19,0.01,0,1915.643084679712,1880.2875867745554,1918.6160795584415,1879.2550170216477
G2,2048,2,7,45,14,14,9,0.01,0,1718.893009627592,1678.1239942632603,1718.893009627592,1662.219218179186
G2,2048,2,8,45,22,22,8,0.01,0,1468.9647167393891,1460.2691707283655,1468.9647167393891,1453.3961211021392
G2,2048,2,9,45,9,9,7,0.01,0,1376.5495344731512,1327.123304247455,1376.5495344731512,1311.1834980630845
G2,2048,2,10,45,12,12,15,0.01,0,1217.0456550042784,1214.0595209086805,1217.0456550042784,1196.0832940706932
G2,2048,2,3,46,7,7,11,0.01,0,4812.28660373484,4805.883250213745,4812.28660373484,4788.900480501832
G2,2048,2,4,46,6,6,9,0.01,0,3736.7514404826343,3736.2760098912836,3736.7514404826343,3718.6961335413052
G2,2048,2,5,46,10,4,9,0.01,0,3057.753465186147,3004.4793627512754,3005.310236091082,2995.0073930160024
G2,2048,2,6,46,8,8,7,0.01,0,2645.997165311997,2617.565210167184,2645.997165311997,2585.0451320789043
G2,2048,2,7,46,18,18,20,0.01,0,2344.9639162443627,2252.3445796325577,2344.9639162443627,2251.2049007110973
G2,2048,2,8,46,10,10,8,0.01,0,2092.0517836018607,1987.5254909432838,2092.0517836018607,1980.1248997483526
G2,2048,2,9,46,9,9,10,0.01,0,1865.8194280933958,1779.4294665812104,1865.8194280933958,1772.325371261017
G2,2048,2,10,46,4,4,13,0.01,0,1781.9892840982266,1627.6326170735347,1781.9892840982266,1620.3556611727568
G2,2048,2,3,47,6,6,5,0.01,0,6168.849459976504,6220.837689729264,6187.464775201466,6150.617963694899
G2,2048,2,4,47,16,14,15,0.01,0,4758.762980209362,4765.056969612684,4760.579656482499,4742.401500259448
G2,2048,2,5,47,10,18,14,0.01,0,3989.363858930317,3906.2390995965243,3972.860874762831,3890.8795767103757
G2,2048,2,6,47,14,11,10,0.01,0,3361.9111908093078,3362.449548596384,3343.594890621236,3322.276874119437
G2,2048,2,7,47,15,15,14,0.01,0,2993.0211839403746,3013.655817042396,2993.0211839403746,2912.741784348622
G2,2048,2,8,47,20,20,6,0.01,0,2608.9908795162664,2749.7036489726725,2608.9908795162664,2592.0861105398008
G2,2048,2,9,47,21,21,14,0.01,0,2402.584463577007,2361.0389780353535,2402.584463577007,2314.630550322813
G2,2048,2,10,47,16,16,16,0.01,0,2172.9963664549496,2126.116606314127,2172.9963664549496,2102.4629220983825
G2,2048,2,3,48,6,6,6,0.01,0,7924.450387306062,7844.752489097036,7924.450387306062,7804.921763262242
G2,2048,2,4,48,19,8,8,0.01,0,6136.849619370292,5973.510667448349,5945.1813389995095,5941.326903767026
G2,2048,2,5,48,8,8,9,0.01,0,4990.795172336643,5051.352478143373,4990.795172336643,4976.400153408553
G2,2048,2,6,48,11,11,6,0.01,0,4296.687550477253,4294.918176858844,4296.687550477253,4267.88534116472
G2,2048,2,7,48,11,11,6,0.01,0,3772.86243135865,3856.035399720865,3772.86243135865,3729.824066349999
G2,2048,2,8,48,9,9,11,0.01,0,3457.4676540234195,3367.7565423040255,3457.4676540234195,3295.5227010349095
G2,2048,2,9,48,19,19,8,0.01,0,3055.7100099966283,3049.025246964986,3055.7100099966283,2985.6953619435158
G2,2048,2,10,48,8,8,16,0.01,0,2768.0045133798167,2750.714523735948,2768.0045133798167,2737.0787114790805
G2,2048,2,3,49,6,6,5,0.01,0,9436.131096151665,9487.938588324108,9436.131096151665,9269.779092565486
G2,2048,2,4,49,12,12,7,0.01,0,7172.459569462823,7431.625925190436,7172.459569462823,7148.022797636337
G2,2048,2,5,49,12,12,8,0.01,0,5951.091245209159,5942.112326636936,5951.091245209159,5934.35843965582
G2,2048,2,6,49,13,13,18,0.01,0,5148.709291777862,5105.704963184937,5148.709291777862,5059.078205271422
G2,2048,2,7,49,13,8,9,0.01,0,4623.902840923164,4745.89287528938,4475.798343834356,4461.057752665207
G2,2048,2,8,49,12,20,11,0.01,0,4091.572540106188,3949.3254740666343,3966.4816573597814,3938.5799010402543
G2,2048,2,9,49,12,12,12,0.01,0,3578.058129406246,3586.6949599671902,3578.058129406246,3562.941944572188
G2,2048,2,10,49,11,11,13,0.01,0,3293.481358055242,3331.586661827983,3293.481358055242,3264.8598679301385
G2,2048,256,3,50,1,1,1,0.01,0,25581.0302846782,25582.865698299414,25581.0302846782,25558.776144838157
G2,2048,256,4,50,1,1,1,0.01,0,25528.915245793178,25526.678217524415,25528.915245793178,25488.767030570136
G2,2048,256,5,50,2,2,1,0.01,0,25474.07265119333,25478.755860504374,25474.07265119333,25433.87089841687
G2,2048,256,6,50,2,2,2,0.01,0,25435.487517658512,25428.191331160226,25435.487517658512,25382.50069036829
G2,2048,256,7,50,2,2,2,0.01,0,25406.33873736295,25391.222819887527,25406.33873736295,25337.386888789297
G2,2048,256,8,50,2,2,2,0.01,0,25383.508718045177,25364.816648629618,25383.508718045177,25297.52327121678
G2,2048,256,9,50,2,2,2,0.01,0,25341.793093341592,25320.545838193826,25341.793093341592,25258.511622544436
G2,2048,256,10,50,2,2,2,0.01,0,25309.744456994922,25283.706108283528,25309.744456994922,25223.258356924045
G2,2048,256,3,51,1,1,1,0.01,0,2551845.01436295,2551965.108101433,2551845.01436295,2549819.741441805
G2,2048,256,4,51,1,1,1,0.01,0,2546210.6053094286,2546024.406225144,2546210.6053094286,2543032.7210990926
G2,2048,256,5,51,1,1,1,0.01,0,2544450.4954412538,2541913.025002369,2544450.4954412538,2537874.615466275
G2,2048,256,6,51,2,2,2,0.01,0,2538868.756609956,2536427.0044198046,2538868.756609956,2532105.3496424556
G2,2048,256,7,51,2,2,2,0.01,0,2535242.204788903,2532708.2598656216,2535242.204788903,2528040.2264780207
G2,2048,256,8,51,2,2,2,0.01,0,2531054.702438019,2528686.3019921323,2531054.702438019,2524130.35249645
G2,2048,256,9,51,2,2,2,0.01,0,2526494.7392672477,2525117.7999854307,2526494.7392672477,2519939.4322808385
G2,2048,256,10,51,2,2,2,0.01,0,2523995.4748119963,2521718.5453915023,2523995.4748119963,2516841.6109146494
G2,2048,256,3,52,1,1,1,0.01,0,102141.98794895737,102104.3192408755,102141.98794895737,102048.80958630076
G2,2048,256,4,52,1,1,1,0.01,0,101914.09500067474,101872.64478349878,101914.09500067474,101757.71823879519
G2,2048,256,5,52,2,2,1,0.01,0,101677.49132289385,101688.4327365986,101677.49132289385,101542.09977419578
G2,2048,256,6,52,2,2,2,0.01,0,101533.0763100087,101496.09799467344,101533.0763100087,101345.52814679648
G2,2048,256,7,52,2,2,2,0.01,0,101412.52215327529,101320.84408801701,101412.52215327529,101154.1429088393
G2,2048,256,8,52,2,2,2,0.01,0,101240.69900869628,101179.97605475478,101240.69900869628,100997.57933599873
G2,2048,256,9,52,2,2,2,0.01,0,101091.09201299393,101002.78878801492,101091.09201299393,100860.12013247109
G2,2048,256,10,52,2,2,2,0.01,0,100960.66735611636,100868.41395763212,100960.66735611636,100683.36629725483
G2,2048,256,3,53,1,1,1,0.01,0,229925.4770999461,229920.99114123188,229925.4770999461,229755.41005606198
G2,2048,256,4,53,1,1,1,0.01,0,229386.6347925023,229439.64909241142,229386.6347925023,229092.2612346543
G2,2048,256,5,53,1,1,1,0.01,0,228962.39012037317,229024.93720460605,228962.39012037317,228617.1453573812
G2,2048,256,6,53,2,2,2,0.01,0,228510.95009645715,228480.24219442526,228510.95009645715,228145.6081107899
G2,2048,256,7,53,2,2,2,0.01,0,228237.36663385178,228152.50089460093,228237.36663385178,227797.37808404164
G2,2048,256,8,53,2,2,2,0.01,0,227864.15138330724,227925.18575096695,227864.15138330724,227389.5953013722
G2,2048,256,9,53,2,2,2,0.01,0,227483.12364457396,227558.66039165691,227483.12364457396,227012.37343725126
G2,2048,256,10,53,2,2,2,0.01,0,227170.5481620524,227256.89981033286,227170.5481620524,226696.01000838116
G2,2048,256,3,54,1,1,1,0.01,0,408520.86057299154,408534.4865446987,408520.86057299154,408248.34750488354
G2,2048,256,4,54,1,1,1,0.01,0,407626.8517230413,407612.0505589079,407626.8517230413,407135.7361370836
G2,2048,256,5,54,1,1,1,0.01,0,406909.0052025113,406933.1884452754,406909.0052025113,406282.1620606197
G2,2048,256,6,54,2,2,1,0.01,0,406001.39038411906,406277.0030688514,406001.39038411906,405392.33586665743
G2,2048,256,7,54,2,2,2,0.01,0,405500.9101954786,405378.05739931,405500.9101954786,404775.4754732187
G2,2048,256,8,54,2,2,2,0.01,0,404830.16307987017,404905.06638993585,404830.16307987017,404010.18855595135
G2,2048,256,9,54,2,2,2,0.01,0,404047.7127719724,404322.6461427958,404047.7127719724,403364.48936641053
G2,2048,256,10,54,3,3,2,0.01,0,403402.9647701386,403877.1838810893,403402.9647701386,402836.2566169228
G2,2048,256,3,55,1,1,1,0.01,0,638128.3791648898,638124.3039970207,638128.3791648898,637620.3895016591
G2,2048,256,4,55,1,1,1,0.01,0,636771.5569246759,637008.8889327671,636771.5569246759,635876.7518938242
G2,2048,256,5,55,1,1,1,0.01,0,635610.7978753002,636106.6675731055,635610.7978753002,634537.1998135038
G2,2048,256,6,55,2,2,1,0.01,0,634228.9413451583,635523.6032520661,634228.9413451583,633219.626982376
G2,2048,256,7,55,2,2,2,0.01,0,633718.1977582427,633644.3370075535,633718.1977582427,632089.0203603475
G2,2048,256,8,55,2,2,2,0.01,0,632762.1177786151,632356.0436047902,632762.1177786151,631149.4451389414
G2,2048,256,9,55,2,2,2,0.01,0,631670.781897069,631290.6554566419,631670.781897069,630118.9166867853
G2,2048,256,10,55,3,3,2,0.01,0,630595.0214552144,630823.9744136916,630595.0214552144,629136.8551300725
G2,2048,256,3,56,1,1,1,0.01,0,917785.6009493086,917707.4861780363,917785.6009493086,917138.6544311512
G2,2048,256,4,56,1,1,1,0.01,0,915656.8230872862,915667.3723397942,915656.8230872862,914508.284952032
G2,2048,256,5,56,1,1,1,0.01,0,914108.7893226291,913943.7189489601,914108.7893226291,912631.009584148
G2,2048,256,6,56,2,2,2,0.01,0,912598.6306482779,911929.4325594519,912598.6306482779,910773.4568994063
G2,2048,256,7,56,2,2,2,0.01,0,911425.0735451767,910374.463276217,911425.0735451767,909072.7415519148
G2,2048,256,8,56,2,2,2,0.01,0,909752.9396299901,909133.8507612502,909752.9396299901,907590.1012218362
G2,2048,256,9,56,2,2,2,0.01,0,908498.6210987333,907993.877196344,908498.6210987333,906267.6341421355
G2,2048,256,10,56,2,2,2,0.01,0,907170.1805104981,906791.3115806025,907170.1805104981,904832.6638075807
G2,2048,256,3,57,1,1,1,0.01,0,1253628.3015291134,1253681.3566985545,1253628.3015291134,1252859.4436753155
G2,2048,256,4,57,1,1,1,0.01,0,1250832.9666704112,1251258.0240455745,1250832.9666704112,1249390.5110921906
G2,2048,256,5,57,2,2,1,0.01,0,1248063.2497376283,1249102.6972689177,1248063.2497376283,1246669.571332654
G2,2048,256,6,57,2,2,2,0.01,0,1246316.660903487,1245946.6222814014,1246316.660903487,1244086.5017619254
G2,2048,256,7,57,2,2,2,0.01,0,1244476.0816178552,1244163.8073641877,1244476.0816178552,1241897.6669335843
G2,2048,256,8,57,2,2,2,0.01,0,1242479.3749912549,1242094.7316313987,1242479.3749912549,1239586.8037829967
G2,2048,256,9,57,2,2,2,0.01,0,1240608.5168018595,1240315.2925731714,1240608.5168018595,1238087.9460062096
G2,2048,256,10,57,2,2,2,0.01,0,1238901.6195294703,1238839.206905223,1238901.6195294703,1236087.3557390962
G2,2048,256,3,58,1,1,1,0.01,0,1634300.9669544862,1634662.881717315,1634300.9669544862,1633261.672271293
G2,2048,256,4,58,1,1,1,0.01,0,1630754.2407913378,1631341.7495672912,1630754.2407913378,1628707.119626868
G2,2048,256,5,58,1,1,1,0.01,0,1628043.0426081205,1629304.5238426812,1628043.0426081205,1625254.6789214187
G2,2048,256,6,58,1,1,2,0.01,0,1625823.333496639,1625568.0530524706,1625823.333496639,1622073.5603824777
G2,2048,256,7,58,2,2,2,0.01,0,1623527.609804683,1622584.2166957832,1623527.609804683,1618938.3821370164
G2,2048,256,8,58,2,2,2,0.01,0,1620687.8753950477,1619825.3854874393,1620687.8753950477,1616518.341103946
G2,2048,256,9,58,2,2,2,0.01,0,1618206.3166719433,1618270.7700506193,1618206.3166719433,1614241.4323789172
G2,2048,256,10,58,2,2,2,0.01,0,1616366.892853343,1616560.3445157658,1616366.892853343,1611483.781846608
G2,2048,256,3,59,1,1,1,0.01,0,2061769.492364778,2061908.9065138488,2061769.492364778,2060374.5107049344
G2,2048,256,4,59,1,1,1,0.01,0,2056948.2813214208,2059695.0589239118,2056948.2813214208,2054716.2292735658
G2,2048,256,5,59,1,1,1,0.01,0,2054642.889355739,2056630.8880962306,2054642.889355739,2050383.0134337042
G2,2048,256,6,59,2,2,2,0.01,0,2050104.982866441,2051373.901183437,2050104.982866441,2046040.7748411647
G2,2048,256,7,59,2,2,2,0.01,0,2047190.0357746673,2048651.7192500876,2047190.0357746673,2042677.921907355
G2,2048,256,8,59,2,2,2,0.01,0,2043118.2676288257,2043765.6784019056,2043118.2676288257,2038863.5795098385
G2,2048,256,9,59,2,2,2,0.01,0,2040014.2087989948,2041037.0666469042,2040014.2087989948,2035892.6254170064
G2,2048,256,10,59,3,3,2,0.01,0,2035706.4270259237,2038485.8246605946,2035706.4270259237,2032627.2130433249
G2,2048,32,3,60,1,1,1,0.01,0,3161.038878840492,3161.7962750839547,3161.038878840492,3150.88155770312
G2,2048,32,4,60,3,3,2,0.01,0,3118.3638335304927,3132.703310196759,3118.3638335304927,3106.1333253896246
G2,2048,32,5,60,3,3,3,0.01,0,3089.3471539175616,3091.9587377660523,3089.3471539175616,3075.791405798143
G2,2048,32,6,60,5,5,3,0.01,0,3063.4187875738808,3069.5659294383977,3063.4187875738808,3045.2474098186667
G2,2048,32,7,60,5,5,4,0.01,0,3044.3646183955507,3041.5148973984233,3044.3646183955507,3020.238568943865
G2,2048,32,8,60,6,6,5,0.01,0,3011.9617944820625,3018.423596747275,3011.9617944820625,2997.1120888797996
G2,2048,32,9,60,6,6,4,0.01,0,2987.2923305061086,3001.069042904488,2987.2923305061086,2976.8460171276292
G2,2048,32,10,60,6,6,6,0.01,0,2968.065812945705,2978.422390402572,2968.065812945705,2960.428742357048
G2,2048,32,3,61,2,2,2,0.01,0,315535.6032756792,315735.8867640805,315535.6032756792,314701.2699393554
G2,2048,32,4,61,3,3,3,0.01,0,311470.8813376543,311852.0115358449,311470.8813376543,310275.9743866818
G2,2048,32,5,61,4,4,5,0.01,0,308440.05618895305,308236.4880020907,308440.05618895305,307101.726965445
G2,2048,32,6,61,4,4,5,0.01,0,306099.7194354733,305455.8291430451,306099.7194354733,303977.80340734264
G2,2048,32,7,61,5,5,5,0.01,0,303694.8932317239,303105.1425173983,303694.8932317239,301562.5989104046
G2,2048,32,8,61,5,5,6,0.01,0,300876.6674843407,300474.0068433591,300876.6674843407,299297.936388369
G2,2048,32,9,61,5,5,6,0.01,0,298635.94816295686,298558.111804059,298635.94816295686,297098.83793887775
G2,2048,32,10,61,5,5,6,0.01,0,297235.22082693933,296508.3130066447,297235.22082693933,294841.6932061071
G2,2048,32,3,62,1,1,1,0.01,0,12645.188603517912,12647.857296117338,12645.188603517912,12612.836109362013
G2,2048,32,4,62,2,2,2,0.01,0,12484.442097467207,12525.110355417335,12484.442097467207,12438.332957733655
G2,2048,32,5,62,3,3,3,0.01,0,12358.73439978971,12361.497626046472,12358.73439978971,12309.718473166526
G2,2048,32,6,62,3,3,4,0.01,0,12276.84039572794,12232.531119592173,12276.84039572794,12188.533906676577
G2,2048,32,7,62,3,3,4,0.01,0,12202.508196790233,12144.638282811165,12202.508196790233,12086.56208963091
G2,2048,32,8,62,4,4,4,0.01,0,12082.533081800233,12052.720691709792,12082.533081800233,11993.231155827394
G2,2048,32,9,62,5,5,5,0.01,0,11973.30636737374,11984.016995438304,11973.30636737374,11900.559387658868
G2,2048,32,10,62,5,5,5,0.01,0,11903.037368135294,11915.233323204644,11903.037368135294,11830.518160960453
G2,2048,32,3,63,1,1,1,0.01,0,28246.52261133787,28241.57530859929,28246.52261133787,28170.911876783925
G2,2048,32,4,63,3,3,2,0.01,0,27897.376753025696,27981.653627174463,27897.376753025696,27786.69284673308
G2,2048,32,5,63,4,4,4,0.01,0,27627.526982597905,27597.234674268453,27627.526982597905,27492.033431109063
G2,2048,32,6,63,4,4,5,0.01,0,27436.40006694584,27348.670047035732,27436.40006694584,27229.969574257128
G2,2048,32,7,63,5,5,5,0.01,0,27251.361922471493,27150.214580492582,27251.361922471493,27013.40249515894
G2,2048,32,8,63,5,5,4,0.01,0,27009.1073858452,26935.333480067064,27009.1073858452,26793.80880842641
G2,2048,32,9,63,7,7,5,0.01,0,26776.689027241908,26707.428525015013,26776.689027241908,26618.94758110668
G2,2048,32,10,63,6,6,5,0.01,0,26622.70599077364,26567.4347106501,26622.70599077364,26428.11820253761
