L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,inertia_speculation,inertia_optimal,inertia_vanilla,inertia_pp
83739.45130548577,83787.95697953561,48.50567404984031,89640,5,8,0,0.01,49,83739.45130548577,76039.18201048358,84503.02385682795,77394.60286782206
83727.29190206074,83800.49610954206,73.20420748132165,89640,5,8,0,0.01,49,83727.29190206074,76039.18201048358,84411.108912962,77356.88511320745
83715.03989272771,84069.59956602739,354.55967329967825,89640,5,8,0,0.01,49,83715.03989272771,76039.18201048358,84334.74282224795,77326.93924661582
83705.77867951393,84009.13349447754,303.354814963619,89640,5,8,0,0.01,49,83705.77867951393,76039.18201048358,84275.24591317704,77303.01139753051
83697.80982367357,84080.10438559556,382.2945619219972,89640,5,8,0,0.01,49,83697.80982367357,76039.18201048358,84224.05177858782,77282.82535310178
83690.30632954848,84001.97719050861,311.6708609601337,89640,5,8,0,0.01,49,83690.30632954848,76039.18201048358,84171.69398012522,77267.54067228927
83683.97362822354,83876.26170334357,192.28807512002825,89640,5,8,0,0.01,49,83683.97362822354,76039.18201048358,84127.61173569458,77252.11170474454
83678.91557742165,83972.80129223404,293.8857148123934,89640,5,8,0,0.01,49,83678.91557742165,76039.18201048358,84090.17650496814,77236.07443515076
83674.70547379878,83908.80933485477,234.10386105599173,89640,5,8,0,0.01,49,83674.70547379878,76039.18201048358,84056.4477087824,77218.6897040831
83670.95843881447,83889.24139493007,218.28295611559588,89640,5,8,0,0.01,49,83670.95843881447,76039.18201048358,84024.74997836651,77203.35435042191
83667.78878539114,84239.61200053991,571.8232151487755,89640,5,8,0,0.01,49,83667.78878539114,76039.18201048358,83993.97644026701,77189.09549262119
83664.9434470608,83727.9555656925,63.012118631697376,89640,5,8,0,0.01,49,83664.9434470608,76039.18201048358,83964.91805850535,77175.92792948624
83662.78938851574,84027.4978041877,364.7084156719648,89640,5,8,0,0.01,49,83662.78938851574,76039.18201048358,83935.9155408622,77164.48710458883
83659.97461161997,83879.09264490433,219.11803328436508,89640,5,8,0,0.01,49,83659.97461161997,76039.18201048358,83908.17542042668,77154.74562799248
83657.12421789383,83747.5132121427,90.38899424887497,89640,5,8,0,0.01,49,83657.12421789383,76039.18201048358,83882.27356680855,77145.41721982928
83654.71703235742,83875.11023556897,220.3932032115408,89640,5,8,0,0.01,49,83654.71703235742,76039.18201048358,83858.1724726125,77135.68744386581
83652.96066711796,83807.9045208536,154.94385373563273,89640,5,8,0,0.01,49,83652.96066711796,76039.18201048358,83834.69581778346,77124.72476693415
83651.42008536961,83987.21827646242,335.7981910928065,89640,5,8,0,0.01,49,83651.42008536961,76039.18201048358,83815.42727469065,77115.73145767895
83649.91433079238,83886.42409432681,236.5097635344282,89640,5,8,0,0.01,49,83649.91433079238,76039.18201048358,83798.51833056845,77105.86085458187
83648.48283963793,83755.41748941381,106.93464977588155,89640,5,8,0,0.01,49,83648.48283963793,76039.18201048358,83784.50907563165,77096.84122898374
83647.14014128849,83836.7238101574,189.583668868916,89640,5,8,0,0.01,49,83647.14014128849,76039.18201048358,83771.2748225181,77088.24401732173
83645.68835539599,83796.17574801475,150.48739261875744,89640,5,8,0,0.01,49,83645.68835539599,76039.18201048358,83758.34446608287,77080.57030690856
83643.99690401781,83987.02733738741,343.0304333695967,89640,5,8,0,0.01,49,83643.99690401781,76039.18201048358,83743.99993020142,77074.0720211951
83642.70174195251,83851.9979619123,209.29621995979687,89640,5,8,0,0.01,49,83642.70174195251,76039.18201048358,83730.37838770162,77067.46492362859
83641.75389110073,83817.41710285541,175.6632117546833,89640,5,8,0,0.01,49,83641.75389110073,76039.18201048358,83719.77655392035,77062.49219064607
83640.8656772027,83881.76922639296,240.9035491902614,89640,5,8,0,0.01,49,83640.8656772027,76039.18201048358,83710.70686954712,77057.69632168124
83639.85570112761,84277.36549255549,637.509791427874,89640,5,8,0,0.01,49,83639.85570112761,76039.18201048358,83702.22682558176,77054.33112685487
83638.87943380019,83927.85482250094,288.9753887007537,89640,5,8,0,0.01,49,83638.87943380019,76039.18201048358,83694.19014552655,77051.54472555376
83638.14385241646,84011.03900950038,372.8951570839272,89640,5,8,0,0.01,49,83638.14385241646,76039.18201048358,83686.99995459411,77048.68458048749
83637.14475850438,83789.77213117701,152.62737267263583,89640,5,8,0,0.01,49,83637.14475850438,76039.18201048358,83680.90649925264,77046.19418654543
83636.52855643816,84009.04626230408,372.5177058659174,89640,5,8,0,0.01,49,83636.52855643816,76039.18201048358,83676.13069605448,77044.25700757706
83635.63020069044,83929.5726373463,293.9424366558524,89640,5,8,0,0.01,49,83635.63020069044,76039.18201048358,83672.37934687432,77042.72797535773
