n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
1000000,16,5,7,31,1,7,0.01,0,1995437.8230016085,1993641.3663780068,1993229.39215574,1992700.6999808098
1000000,16,6,7,28,4,23,0.01,0,1721329.372812387,1555891.2222292656,1550472.41524246,1549185.3927562893
1000000,16,7,7,26,4,22,0.01,0,1698854.209594927,1291731.9642758074,1294672.1744431697,1287927.793460047
1000000,16,8,7,35,1,6,0.01,0,1277171.8788741075,1043610.178547948,1042259.6348288977,1041927.7539882205
1000000,16,9,7,28,4,10,0.01,0,1240733.118110899,905965.699354577,897915.1741875133,897075.2162392562
1000000,16,10,7,36,5,46,0.01,0,987345.5277823646,811647.8287287183,803497.0907472117,801904.6536328214
732977,17,3,8,10,1,4,0.01,0,8.095795320837882e+35,8.0969723941784e+35,8.094738279261046e+35,8.09430493705707e+35
732977,17,4,8,19,2,12,0.01,0,5.6492897230799504e+35,5.6492897230799504e+35,4.760004675098533e+35,4.759559605206785e+35
732977,17,5,8,27,1,13,0.01,0,3.473794898870183e+35,3.2163551756324127e+35,3.466985960237776e+35,3.212307789939726e+35
732977,17,6,8,41,1,7,0.01,0,2.4836351993105364e+35,2.033886564752686e+35,2.4815809060714077e+35,2.0306691563519095e+35
732977,17,7,8,49,2,7,0.01,0,1.5891930329108386e+35,1.654308442824748e+35,1.5595265228088329e+35,1.5595013617398547e+35
732977,17,8,8,49,1,9,0.01,0,1.348833814065019e+35,1.1995437915735856e+35,1.3086718274805408e+35,1.1720985372673385e+35
732977,17,9,8,49,1,5,0.01,0,1.2196493358723888e+35,9.748842547400858e+34,1.1790966003987584e+35,9.129551811386417e+34
732977,17,10,8,49,1,5,0.01,0,1.1551422623724437e+35,7.091581808476215e+34,1.0894635188801843e+35,7.038205607670214e+34
1000000,19,3,9,9,2,6,0.01,0,14976.084126614558,14435.004931894642,14432.008669527073,14431.295898713017
1000000,19,4,9,15,1,4,0.01,0,7411.086834369002,7403.258407469494,7404.432322120343,7401.864262814812
1000000,19,5,9,21,2,4,0.01,0,5109.794881600564,5108.672424939246,5108.356449163694,5107.930489143732
1000000,19,6,9,6,2,3,0.01,0,4232.106296310646,4231.037278697877,4230.594944330899,3997.870627185664
1000000,19,7,9,18,2,4,0.01,0,3129.519873788511,3130.254591400888,3126.8088435293134,3126.102791214094
1000000,19,8,9,21,2,5,0.01,0,2709.6140142641334,2808.0268866381152,2695.509241451067,2693.7371071888765
1000000,19,9,9,19,2,36,0.01,0,2386.8883256222443,2400.481358225334,2379.921440631021,2377.084954723806
1000000,19,10,9,26,4,12,0.01,0,2146.297504122096,2147.166576991413,2101.364310930573,2099.450662175912
