L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,inertia_speculation,inertia_optimal,inertia_vanilla,inertia_pp
83656.41685876474,84992.54416375139,1336.1273049866431,89640,5,8,0,0.01,49,83656.41685876474,76039.18201048358,83743.99993020142,77074.0720211951
83654.56306741941,84409.33946689554,754.7763994761335,89640,5,8,0,0.01,49,83654.56306741941,76039.18201048358,83730.37838770162,77067.46492362859
83652.92049976581,84371.81491712006,718.894417354255,89640,5,8,0,0.01,49,83652.92049976581,76039.18201048358,83719.77655392035,77062.49219064607
83651.39420847605,84799.89222150024,1148.4980130241893,89640,5,8,0,0.01,49,83651.39420847605,76039.18201048358,83710.70686954712,77057.69632168124
83649.90667944381,85896.68090581697,2246.7742263731634,89640,5,8,0,0.01,49,83649.90667944381,76039.18201048358,83702.22682558176,77054.33112685487
83648.49517063318,84712.1790627212,1063.6838920880257,89640,5,8,0,0.01,49,83648.49517063318,76039.18201048358,83694.19014552655,77051.54472555376
83647.13798029287,85076.53100560774,1429.393025314872,89640,5,8,0,0.01,49,83647.13798029287,76039.18201048358,83686.99995459411,77048.68458048749
83645.67438266375,84417.86822359763,772.1938409338763,89640,5,8,0,0.01,49,83645.67438266375,76039.18201048358,83680.90649925264,77046.19418654543
83643.99001923267,85062.80092046624,1418.8109012335626,89640,5,8,0,0.01,49,83643.99001923267,76039.18201048358,83676.13069605448,77044.25700757706
83642.70174195251,84739.77244188194,1097.0706999294343,89640,5,8,0,0.01,49,83642.70174195251,76039.18201048358,83672.37934687432,77042.72797535773
