L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,inertia_speculation,inertia_optimal,inertia_vanilla,inertia_pp
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,84127.61173569458,77252.11170474454
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,84090.17650496814,77236.07443515076
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,84056.4477087824,77218.6897040831
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,84024.74997836651,77203.35435042191
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83993.97644026701,77189.09549262119
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83964.91805850535,77175.92792948624
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83935.9155408622,77164.48710458883
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83908.17542042668,77154.74562799248
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83882.27356680855,77145.41721982928
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83858.1724726125,77135.68744386581
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83834.69581778346,77124.72476693415
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83815.42727469065,77115.73145767895
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83798.51833056845,77105.86085458187
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83784.50907563165,77096.84122898374
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83771.2748225181,77088.24401732173
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83758.34446608287,77080.57030690856
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83743.99993020142,77074.0720211951
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83730.37838770162,77067.46492362859
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83719.77655392035,77062.49219064607
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83710.70686954712,77057.69632168124
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83702.22682558176,77054.33112685487
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83694.19014552655,77051.54472555376
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83686.99995459411,77048.68458048749
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83680.90649925264,77046.19418654543
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83676.13069605448,77044.25700757706
77029.30808242795,77860.57947636642,831.2713939384703,89640.0,5.0,8.0,0.0,0.01,17.0,77029.30808242795,76039.18201048358,83672.37934687432,77042.72797535773
