n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,ratio_AB_avg,ratio_AB_max,ratio_AB_min
89640.0,5.0,3.0,0.023728432478728117,0.011672496795654297,0.03474283218383789,0.006116858235111943,0.0,0.016008615493774414,29880.0,29873.0,29894.0,3.8791862695987214,2.170258396008638,1.0
89640.0,5.0,4.0,0.027910560369491577,0.01566004753112793,0.03562045097351074,0.009826406836509705,0.0006659030914306641,0.020751953125,22410.0,22344.0,22474.0,2.8403627932227242,1.7164866727941177,23.517006802721088
89640.0,5.0,5.0,0.028741972119200463,0.014824151992797852,0.04214906692504883,0.007991140963984471,0.0,0.015668153762817383,17928.0,17816.0,17983.0,3.5967294593774,2.6901106258654535,1.0
89640.0,5.0,6.0,0.030794864115507706,0.015603780746459961,0.04200434684753418,0.009679104970849079,0.0,0.01566171646118164,14940.0,3024.0,17804.0,3.1815817896648237,2.6819759476328207,1.0
89640.0,5.0,7.0,0.033886224031448364,0.019112110137939453,0.04687786102294922,0.011343663930892945,0.0,0.016451597213745117,12805.714285714286,2951.0,14818.0,2.9872380068633544,2.8494413286378855,1.0
89640.0,5.0,8.0,0.036196025212605794,0.026270151138305664,0.05347466468811035,0.012803885142008463,0.0,0.027692317962646484,11205.0,2252.0,14494.0,2.826956412928893,1.9310288420146362,1.0
89640.0,5.0,9.0,0.03994561103453119,0.030361652374267578,0.04981493949890137,0.013990703835544816,0.0,0.024254322052001953,9960.0,2785.0,11186.0,2.8551537866912224,2.053858252236312,1.0
10081.0,7.0,3.0,0.0032703659751198507,0.0029633045196533203,0.003998517990112305,0.001093691045587713,0.000982522964477539,0.001971006393432617,3360.3333333333335,2133.0,4626.0,2.990210067380103,2.028668198862949,3.016015530211114
10081.0,7.0,4.0,0.003544937480579723,0.002997159957885742,0.00400090217590332,0.001545992764559659,0.0009989738464355469,0.0020012855529785156,2520.25,2121.0,3122.0,2.292984522207268,1.9991660710030974,3.000238663484487
10081.0,7.0,5.0,0.004158183148032741,0.003997325897216797,0.005002260208129883,0.0014734268188476562,0.0009944438934326172,0.0020046234130859375,2016.2,1010.0,3122.0,2.822117186169307,2.4953615604186488,4.019659554063773
10081.0,7.0,6.0,0.004814666860243853,0.0,0.015340089797973633,0.0015300301944508271,0.0,0.0020036697387695312,1680.1666666666667,799.0,2804.0,3.1467789836474296,7.655997144217039,1.0
10081.0,7.0,7.0,0.004999981986151801,0.003999471664428711,0.006000041961669922,0.0018889639112684461,0.0010004043579101562,0.002001047134399414,1440.142857142857,589.0,2351.0,2.6469441561719913,2.9984510901942096,3.997855100095329
10081.0,7.0,8.0,0.005997896194458008,0.0,0.018858909606933594,0.0018596649169921875,0.0,0.003010988235473633,1260.125,261.0,2354.0,3.22525641025641,6.263362103096049,1.0
10081.0,7.0,9.0,0.006056757534251493,0.0059661865234375,0.007003068923950195,0.0024131466360653147,0.0019948482513427734,0.0040340423583984375,1120.111111111111,26.0,2569.0,2.5099003283642807,1.7359929078014185,2.9907971793952433
10692.0,8.0,3.0,0.003861292548801588,0.0,0.015630483627319336,0.0010285066521686056,0.0,0.0020012855529785156,3564.0,2.0,8657.0,3.7542708553805224,7.8102215868477485,1.0
10692.0,8.0,4.0,0.004449775344447086,0.0,0.015674829483032227,0.002172677140486868,0.0,0.01613020896911621,2673.0,2.0,7453.0,2.048061012622405,0.9717685315202128,1.0
10692.0,8.0,5.0,0.004897917018217199,0.0,0.019148588180541992,0.0020703988916733686,0.0,0.015668869018554688,2138.4,2.0,6114.0,2.3656876160026012,1.2220785149117468,1.0
10692.0,8.0,6.0,0.004847940133542431,0.0,0.020502805709838867,0.002660853522164481,0.0,0.01567363739013672,1782.0,2.0,5540.0,1.821949270472753,1.3081076969881351,1.0
10692.0,8.0,7.0,0.006167414053431097,0.0,0.01906609535217285,0.0020102307481585807,0.0,0.01562643051147461,1527.4285714285713,2.0,4901.0,3.068012992578387,1.2201183973635226,1.0
10692.0,8.0,8.0,0.006328935909988289,0.0,0.016134023666381836,0.002533740567085438,0.0,0.015657901763916016,1336.5,2.0,4733.0,2.4978626431625806,1.0304077717209246,1.0
10692.0,8.0,9.0,0.0067093143096336955,0.0,0.01868915557861328,0.00292049921475924,0.0,0.017006397247314453,1188.0,2.0,3895.0,2.297317621496706,1.0989485489976167,1.0
22784.0,9.0,3.0,0.008614540100097656,0.0,0.015670061111450195,0.0022595259878370496,0.0,0.0156252384185791,7594.666666666667,527.0,18912.0,3.812543049502165,1.002868608572257,1.0
22784.0,9.0,4.0,0.010344094700283475,0.0,0.02388477325439453,0.0024733013576931423,0.0,0.015626192092895508,5696.0,241.0,15927.0,4.182302600574098,1.5285088723089364,1.0
22784.0,9.0,5.0,0.013122384510343038,0.0,0.023728370666503906,0.002792350829593719,0.0,0.015967845916748047,4556.8,164.0,14814.0,4.69940394712233,1.4860094962224146,1.0
22784.0,9.0,6.0,0.01174610502579633,0.0,0.024597883224487305,0.004850871422711541,0.0,0.01755666732788086,3797.3333333333335,52.0,14788.0,2.421442252788158,1.4010565197316602,1.0
22784.0,9.0,7.0,0.01443726902916318,0.0,0.028616905212402344,0.004308323633103144,0.0,0.016362428665161133,3254.8571428571427,101.0,10464.0,3.3510177643652295,1.748939952498215,1.0
22784.0,9.0,8.0,0.014607371024365694,0.0,0.022820472717285156,0.004682066305628362,0.0,0.020378589630126953,2848.0,52.0,10555.0,3.1198556515113887,1.1198259119732317,1.0
22784.0,9.0,9.0,0.01576082731030651,0.0031332969665527344,0.031242847442626953,0.005762028939945181,0.0,0.015660762786865234,2531.5555555555557,3.0,8979.0,2.735291244555335,1.9949760984075755,1.0
59049.0,10.0,3.0,0.02686860447838193,0.015110254287719727,0.04253268241882324,0.007077410107567197,0.0,0.015683650970458984,19683.0,13519.0,26590.0,3.796389367016319,2.7119120732115167,1.0
59049.0,10.0,4.0,0.025839601244245256,0.015618562698364258,0.03452944755554199,0.010918583188738142,0.0,0.015695571899414062,14762.25,13195.0,15865.0,2.3665709000502226,2.1999483533843724,1.0
59049.0,10.0,5.0,0.037396841049194336,0.023777484893798828,0.05057168006896973,0.010842561721801758,0.0,0.017905473709106445,11809.8,8804.0,15922.0,3.4490779954702377,2.82436984860388,1.0
59049.0,10.0,6.0,0.034194268432317994,0.0227508544921875,0.04691147804260254,0.011775273902743471,0.0,0.016595840454101562,9841.5,7725.0,12869.0,2.9039042925660707,2.826700953913343,1.0
59049.0,10.0,7.0,0.041484192565635396,0.031204700469970703,0.053563833236694336,0.012957069608900283,0.0,0.017435550689697266,8435.57142857143,4800.0,12835.0,3.2016647141526255,3.072104471489129,1.0
59049.0,10.0,8.0,0.03990155061086019,0.025779247283935547,0.04710578918457031,0.014538709322611492,0.0,0.01613306999206543,7381.125,3732.0,12455.0,2.744504324658507,2.91982798114295,1.0
59049.0,10.0,9.0,0.04520758811165305,0.03121328353881836,0.047507286071777344,0.015995548051946303,0.015049219131469727,0.031261444091796875,6561.0,2194.0,11850.0,2.82626065482966,1.5196766320927395,2.074079941699276
40768.0,11.0,3.0,0.01759136063711984,0.008107662200927734,0.03129148483276367,0.0067320891789027625,0.0,0.01563286781311035,13589.333333333334,11459.0,17599.0,2.6130611418886445,2.0016471198279673,1.0
